SJdate,SJclosePrice,SJopenPrice,SJvolume,SJUclosePrice,SJUopenPrice,SJUvolume
2021.01.04,"83,000","81,000","38,554,122","74,400","73,700","5,434,161"
2020.12.30,"81,000","77,400","29,417,421","73,600","72,000","4,325,286"
2020.12.29,"78,300","78,800","30,339,449","72,200","72,500","5,229,106"
2020.12.28,"78,700","79,000","40,085,044","72,900","74,000","8,145,726"
2020.12.24,"77,800","74,100","32,502,870","72,800","70,400","5,870,143"
2020.12.23,"73,900","72,400","19,411,326","69,900","68,500","2,663,377"
2020.12.22,"72,300","72,500","16,304,910","68,500","68,300","2,109,156"
2020.12.21,"73,000","73,100","20,367,355","68,800","68,700","3,519,643"
2020.12.18,"73,000","73,300","17,613,029","68,600","68,900","3,277,424"
2020.12.17,"73,300","73,400","24,293,214","68,900","68,700","4,513,170"
2020.12.16,"73,800","74,100","17,512,081","69,500","70,000","2,624,187"
2020.12.15,"73,800","73,800","20,863,671","69,500","69,800","5,241,742"
2020.12.14,"73,800","73,600","21,510,415","69,900","69,700","6,710,198"
2020.12.11,"73,400","73,500","18,486,672","69,300","68,000","3,410,209"
2020.12.10,"72,900","72,700","39,882,928","67,800","66,100","3,708,012"
2020.12.09,"73,900","72,100","24,077,996","66,900","65,900","3,052,718"
2020.12.08,"71,700","72,200","25,000,338","65,800","66,300","4,599,768"
2020.12.07,"72,900","72,400","28,490,496","66,700","65,500","5,978,122"
2020.12.04,"71,500","70,400","28,130,533","65,500","64,000","4,299,278"
2020.12.03,"69,700","70,100","23,677,989","64,400","64,500","4,230,687"
2020.12.02,"69,500","68,400","29,703,942","63,800","62,800","3,869,364"
2020.12.01,"67,800","67,100","22,327,173","62,500","61,200","2,835,893"
2020.11.30,"66,700","68,400","43,811,016","61,100","62,400","6,415,253"
2020.11.27,"68,200","68,000","14,063,434","61,800","61,800","2,807,212"
2020.11.26,"68,000","66,100","19,023,323","61,900","61,100","2,301,092"
2020.11.25,"66,600","67,900","32,447,065","60,800","62,100","4,976,710"
2020.11.24,"67,700","67,900","32,158,235","61,800","61,600","5,934,539"
2020.11.23,"67,500","64,800","27,134,398","61,000","58,400","3,411,903"
2020.11.20,"64,700","63,900","15,068,682","58,300","58,200","2,006,084"
2020.11.19,"64,600","64,100","16,590,290","58,000","57,800","2,376,103"
2020.11.18,"64,800","65,700","22,963,790","58,500","58,600","3,624,699"
2020.11.17,"65,700","67,000","30,204,089","59,000","59,400","4,830,037"
2020.11.16,"66,300","64,000","36,354,334","58,800","58,000","5,619,146"
2020.11.13,"63,200","61,300","31,508,829","57,400","57,000","3,818,072"
2020.11.12,"61,000","61,000","19,800,573","57,300","56,900","3,846,625"
2020.11.11,"61,300","60,700","25,628,510","56,900","54,700","3,285,787"
2020.11.10,"60,200","60,500","19,073,552","55,500","55,200","2,606,507"
2020.11.09,"60,200","60,700","15,892,961","55,000","54,100","2,142,600"
2020.11.06,"60,100","60,700","16,910,230","53,800","53,900","2,389,344"
2020.11.05,"60,300","59,000","20,639,475","53,500","52,400","2,026,073"
2020.11.04,"58,500","58,900","21,718,561","52,200","52,200","1,447,736"
2020.11.03,"58,800","57,900","14,950,919","52,200","51,500","1,960,143"
2020.11.02,"57,400","56,400","20,489,076","51,200","49,800","2,743,951"
2020.10.30,"56,600","58,000","26,907,844","50,100","51,600","3,581,887"
2020.10.29,"58,100","58,200","22,636,966","51,700","52,300","3,300,363"
2020.10.28,"59,000","59,400","14,428,882","52,900","52,800","2,083,260"
2020.10.27,"59,800","60,300","17,260,416","53,400","53,300","1,808,876"
2020.10.26,"60,400","60,400","13,268,226","53,500","54,000","2,292,408"
2020.10.23,"60,200","60,400","9,322,232","53,300","53,200","1,455,825"
2020.10.22,"60,100","60,300","14,294,095","53,500","52,900","2,123,010"
2020.10.21,"60,900","61,200","15,703,443","53,200","53,500","1,801,444"
2020.10.20,"60,900","60,300","19,326,115","53,300","52,900","1,808,384"
2020.10.19,"60,000","59,600","14,474,985","53,000","52,800","1,602,973"
2020.10.16,"59,500","60,000","16,554,190","53,000","53,400","1,977,121"
2020.10.15,"60,000","60,700","17,756,232","53,200","53,100","2,462,706"
2020.10.14,"60,900","61,000","16,086,716","53,600","53,700","3,346,129"
2020.10.13,"60,900","61,000","19,247,631","53,400","53,000","3,716,282"
2020.10.12,"60,400","60,000","16,145,837","52,300","52,300","3,716,137"
2020.10.08,"59,700","60,500","24,589,924","51,700","52,000","2,263,004"
2020.10.07,"59,900","58,700","14,861,838","51,400","50,600","1,757,262"
2020.10.06,"59,000","59,400","14,463,826","50,900","51,300","1,735,208"
2020.10.05,"58,700","57,500","20,228,289","50,700","50,000","2,058,949"
2020.09.29,"58,200","58,300","15,503,563","50,500","50,600","2,656,730"
2020.09.28,"58,200","58,300","12,614,080","50,500","50,700","1,784,371"
2020.09.25,"57,900","57,700","11,444,683","50,700","50,300","2,041,736"
2020.09.24,"57,800","57,700","17,564,020","50,300","50,100","1,926,490"
2020.09.23,"58,600","58,400","20,111,398","50,900","51,100","1,875,836"
2020.09.22,"58,200","59,100","20,830,381","51,000","50,900","2,117,503"
2020.09.21,"59,200","59,100","15,140,387","51,300","50,900","1,636,797"
2020.09.18,"59,300","59,800","18,884,571","50,900","50,800","2,188,690"
